Year,ProSport,WinningTeam,City,State
1988,NFL,Washington Redskins,Washington,DC Metro Area
1988,NBA,Los Angeles Lakers,Greater Los Angeles,CA
1988,NHL,Edmonton Oilers,Edmonton,AB
1988,MLB,Los Angeles Dodgers,Greater Los Angeles,CA
1989,NFL,San Francisco 49ers,San Francisco Bay Area,CA
1989,NBA,Detroit Pistons,Metro Detroit,MI
1989,NHL,Calgary Flames,Calgary,AB
1989,MLB,Oakland Athletics,San Francisco Bay Area,CA
1990,NFL,San Francisco 49ers,San Francisco Bay Area,CA
1990,NBA,Detroit Pistons,Metro Detroit,MI
1990,NHL,Edmonton Oilers,Edmonton,AB
1990,MLB,Cincinnati Reds,Cincinnati,OH
1991,NFL,New York Giants,New York City,NY
1991,NBA,Chicago Bulls,Chicago,IL
1991,NHL,Pittsburgh Penguins,Pittsburgh,PA
1991,MLB,Minnesota Twins,Twin Cities,MN
1992,NFL,Washington Redskins,Washington,DC Metro Area
1992,NBA,Chicago Bulls,Chicago,IL
1992,NHL,Pittsburgh Penguins,Pittsburgh,PA
1992,MLB,Toronto Blue Jays,Toronto,ON
1993,NFL,Dallas Cowboys,Dallas-Fort Worth,TX
1993,NBA,Chicago Bulls,Chicago,IL
1993,NHL,Montreal Canadiens,Montreal,QC
1993,MLB,Toronto Blue Jays,Toronto,ON
1994,NFL,Dallas Cowboys,Dallas-Fort Worth,TX
1994,NBA,Houston Rockets,Houston,TX
1994,NHL,New York Rangers,New York City,NY
1995,NFL,San Francisco 49ers,San Francisco Bay Area,CA
1995,NBA,Houston Rockets,Houston,TX
1995,NHL,New Jersey Devils,New York City,NY
1995,MLB,Atlanta Braves,Atlanta,GA
1996,NFL,Dallas Cowboys,Dallas-Fort Worth,TX
1996,NBA,Chicago Bulls,Chicago,IL
1996,NHL,Colorado Avalanche,Denver,CO
1996,MLS,D.C. United,Washington,DC Metro Area
1996,MLB,New York Yankees,New York City,NY
1997,NFL,Green Bay Packers,Green Bay,WI
1997,NBA,Chicago Bulls,Chicago,IL
1997,NHL,Detroit Red Wings,Metro Detroit,MI
1997,MLS,D.C. United,Washington,DC Metro Area
1997,MLB,Florida Marlins,Greater Miami Area,FL
1998,NFL,Denver Broncos,Denver,CO
1998,NBA,Chicago Bulls,Chicago,IL
1998,NHL,Detroit Red Wings,Metro Detroit,MI
1998,MLS,Chicago Fire,Chicago,IL
1998,MLB,New York Yankees,New York City,NY
1999,NFL,Denver Broncos,Denver,CO
1999,NBA,San Antonio Spurs,San Antonio,TX
1999,NHL,Dallas Stars,Dallas-Fort Worth,TX
1999,MLB,New York Yankees,New York City,NY
1999,MLS,D.C. United,Washington,DC Metro Area
2000,NFL,St. Louis Rams,St. Louis,MO
2000,NBA,Los Angeles Lakers,Greater Los Angeles,CA
2000,NHL,New Jersey Devils,New York City,NY
2000,MLB,New York Yankees,New York City,NY
2000,MLS,Kansas City Wizards,Kansas City,MO
2001,NFL,Baltimore Ravens,Baltimore,MD
2001,NBA,Los Angeles Lakers,Greater Los Angeles,CA
2001,NHL,Colorado Avalanche,Denver,CO
2001,MLS,San Jose Earthquakes,San Jose-Santa Clara,CA
2001,MLB,Arizona Diamondbacks,Metro Phoenix,AZ
2002,NFL,New England Patriots,Greater Boston,MA
2002,NBA,Los Angeles Lakers,Greater Los Angeles,CA
2002,NHL,Detroit Red Wings,Metro Detroit,MI
2002,MLB,Anaheim Angels,Greater Los Angeles,CA
2002,MLS,Los Angeles Galaxy,Greater Los Angeles,CA
2003,NFL,Tampa Bay Buccaneers,Tampa Bay Area,FL
2003,NBA,San Antonio Spurs,San Antonio,TX
2003,NHL,New Jersey Devils,New York City,NY
2003,MLB,Florida Marlins,Greater Miami Area,FL
2003,MLS,San Jose Earthquakes,San Jose-Santa Clara,CA
2004,NFL,New England Patriots,Greater Boston,MA
2004,NBA,Detroit Pistons,Metro Detroit,MI
2004,NHL,Tampa Bay Lightning,Tampa Bay Area,FL
2004,MLB,Boston Red Sox,Greater Boston,MA
2004,MLS,D.C. United,Washington,DC Metro Area
2005,NFL,New England Patriots,Greater Boston,MA
2005,NBA,San Antonio Spurs,San Antonio,TX
2005,MLB,Chicago White Sox,Chicago,IL
2005,MLS,Los Angeles Galaxy,Greater Los Angeles,CA
2006,NFL,Pittsburgh Steelers,Pittsburgh,PA
2006,NBA,Miami Heat,Greater Miami Area,FL
2006,NHL,Carolina Hurricanes,Greater Raleigh,NC
