,Year,Pro Sport,Winning Team,City,State
576,1985,MLB,Kansas City Royals,Kansas City, MO
582,1986,NFL,Chicago Bears,Chicago, IL
584,1986,NBA,Boston Celtics,Greater Boston, MA
586,1986,NHL,Montreal Canadiens,Montreal, QC
588,1986,MLB,New York Mets,New York City, NY
594,1987,NFL,New York Giants,New York City, NY
597,1987,NBA,Los Angeles Lakers,Greater Los Angeles, CA
598,1987,NHL,Edmonton Oilers,Edmonton, AB
600,1987,MLB,Minnesota Twins,Twin Cities, MN
606,1988,NFL,Washington Redskins,Washington, DC Metro Area
609,1988,NBA,Los Angeles Lakers,Greater Los Angeles, CA
610,1988,NHL,Edmonton Oilers,Edmonton, AB
612,1988,MLB,Los Angeles Dodgers,Greater Los Angeles, CA
618,1989,NFL,San Francisco 49ers,San Francisco Bay Area, CA
621,1989,NBA,Detroit Pistons,Metro Detroit, MI
622,1989,NHL,Calgary Flames,Calgary, AB
624,1989,MLB,Oakland Athletics,San Francisco Bay Area, CA
630,1990,NFL,San Francisco 49ers,San Francisco Bay Area, CA
633,1990,NBA,Detroit Pistons,Metro Detroit, MI
634,1990,NHL,Edmonton Oilers,Edmonton, AB
636,1990,MLB,Cincinnati Reds,Cincinnati, OH
643,1991,NFL,New York Giants,New York City, NY
646,1991,NBA,Chicago Bulls,Chicago, IL
647,1991,NHL,Pittsburgh Penguins,Pittsburgh, PA
649,1991,MLB,Minnesota Twins,Twin Cities, MN
656,1992,NFL,Washington Redskins,Washington, DC Metro Area
658,1992,NBA,Chicago Bulls,Chicago, IL
660,1992,NHL,Pittsburgh Penguins,Pittsburgh, PA
662,1992,MLB,Toronto Blue Jays,Toronto, ON
668,1993,NFL,Dallas Cowboys,Dallas-Fort Worth, TX
670,1993,NBA,Chicago Bulls,Chicago, IL
673,1993,NHL,Montreal Canadiens,Montreal, QC
674,1993,MLB,Toronto Blue Jays,Toronto, ON
680,1994,NFL,Dallas Cowboys,Dallas-Fort Worth, TX
683,1994,NBA,Houston Rockets,Houston, TX
